;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;182795000000,0;233715000000,0;215639000000,0;229234000000,0;265595000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;1795000000,0;2921000000,0;3999000000,0;5201000000,0;5686000000,0;4961000000,0;3763000000,0;2843000000,0;2825000000,0;3750000000,0;0,0;0,0
Otros ingresos;980000000,0;1285000000,0;1348000000,0;2745000000,0;2005000000,0;1807000000,0;803000000,0;258000000,0;-334000000,0;-565000000,0;269000000,0;-321000000,0
Ingresos totales;182795000000,0;233715000000,0;215639000000,0;229234000000,0;265595000000,0;260174000000,0;274515000000,0;365817000000,0;394328000000,0;383285000000,0;391035000000,0;416161000000,0
Coste de los bienes vendidos;112258000000,0;140089000000,0;131376000000,0;141048000000,0;163756000000,0;161782000000,0;169559000000,0;212981000000,0;223546000000,0;214137000000,0;210352000000,0;220960000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;381000000,0;722000000,0;1400000000,0;2200000000,0;3000000000,0;3576000000,0;2873000000,0;2600000000,0;2931000000,0;3933000000,0;0,0;0,0
Beneficio bruto;70537000000,0;93626000000,0;84263000000,0;88186000000,0;101839000000,0;98392000000,0;104956000000,0;152836000000,0;170782000000,0;169148000000,0;180683000000,0;195201000000,0
Gastos de venta generales y administrativos;11993000000,0;14329000000,0;14194000000,0;15261000000,0;16705000000,0;18245000000,0;19916000000,0;21973000000,0;25094000000,0;24932000000,0;26097000000,0;27601000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;6041000000,0;8067000000,0;10045000000,0;11581000000,0;14236000000,0;16217000000,0;18752000000,0;21914000000,0;26251000000,0;29915000000,0;31370000000,0;34550000000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;18034000000,0;22396000000,0;24239000000,0;26842000000,0;30941000000,0;34462000000,0;38668000000,0;43887000000,0;51345000000,0;54847000000,0;57467000000,0;62151000000,0
Beneficio operativo;52503000000,0;71230000000,0;60024000000,0;61344000000,0;70898000000,0;63930000000,0;66288000000,0;108949000000,0;119437000000,0;114301000000,0;123216000000,0;133050000000,0
Gastos por intereses;384000000,0;733000000,0;1456000000,0;2323000000,0;3240000000,0;3576000000,0;2873000000,0;2645000000,0;2931000000,0;3933000000,0;0,0;0,0
Ingresos por intereses e inversiones;1795000000,0;2921000000,0;3999000000,0;5201000000,0;5686000000,0;4961000000,0;3763000000,0;2843000000,0;2825000000,0;3750000000,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos (gastos) no operativos;-431000000,0;-903000000,0;-1195000000,0;-133000000,0;-441000000,0;422000000,0;-87000000,0;60000000,0;-228000000,0;-382000000,0;269000000,0;-321000000,0
EBT excl. Articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Devaluacion de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;53483000000,0;72515000000,0;61372000000,0;64089000000,0;72903000000,0;65737000000,0;67091000000,0;109207000000,0;119103000000,0;113736000000,0;123485000000,0;132729000000,0
Gastos de impuestos;13973000000,0;19121000000,0;15685000000,0;15738000000,0;13372000000,0;10481000000,0;9680000000,0;14527000000,0;19300000000,0;16741000000,0;29749000000,0;20719000000,0
Beneficios por operaciones continuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;39510000000,0;53394000000,0;45687000000,0;48351000000,0;59531000000,0;55256000000,0;57411000000,0;94680000000,0;99803000000,0;96995000000,0;93736000000,0;112010000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;1,6125;2,305;2,0775;2,3025;2,9775;2,9725;3,28;5,61;6,11;6,13;6,08;7,46
Promedio ponderado de acciones diluidas en circulacion;24490652000,0;23172276000,0;22001124000,0;21006768000,0;20000436000,0;18595652000,0;17528214000,0;16864919000,0;16325819000,0;15812547000,0;15408095000,0;15004697000,0
Promedio ponderado de acciones basicas en circulacion;24342288000,0;23013684000,0;21883280000,0;20868968000,0;19821508000,0;18471336000,0;17352119000,0;16701272000,0;16215963000,0;15744231000,0;15343783000,0;14948500000,0
Total de acciones fuera. en la fecha de presentacion;23459360000,0;22301324000,0;21329252000,0;20537248000,0;18981592000,0;17773060000,0;17001802000,0;16406397000,0;15908118000,0;15552752000,0;15115823000,0;14776353000,0
Dividendo por accion;0,455;0,495;0,545;0,6;0,68;0,75;0,795;0,85;0,9;0,94;0,98;1,02
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,6225;2,32;2,0875;2,3175;3,0025;2,9925;3,31;5,67;6,15;6,16;6,11;7,49
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;53867000000,0;73248000000,0;62828000000,0;66412000000,0;76143000000,0;69313000000,0;69964000000,0;111852000000,0;122034000000,0;117669000000,0;123485000000,0;132729000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
