;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;88988000000,0;107006000000,0;135987000000,0;177866000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);3000000,0;-5000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;39000000,0;50000000,0;100000000,0;202000000,0;440000000,0;832000000,0;555000000,0;448000000,0;989000000,0;2949000000,0;4677000000,0;4381000000,0
Otros ingresos;-289000000,0;-665000000,0;-294000000,0;-300000000,0;-1160000000,0;-565000000,0;1279000000,0;13272000000,0;-18184000000,0;705000000,0;21000000,0;17336000000,0
Ingresos totales;88988000000,0;107006000000,0;135987000000,0;177866000000,0;232887000000,0;280522000000,0;386064000000,0;469822000000,0;513983000000,0;574785000000,0;637959000000,0;716924000000,0
Coste de los bienes vendidos;62752000000,0;71651000000,0;88265000000,0;111934000000,0;139156000000,0;165536000000,0;233307000000,0;272344000000,0;288831000000,0;304739000000,0;326288000000,0;356414000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;210000000,0;459000000,0;484000000,0;848000000,0;1417000000,0;1600000000,0;1647000000,0;1809000000,0;2367000000,0;3182000000,0;0,0;0,0
Beneficio bruto;26236000000,0;35355000000,0;47722000000,0;65932000000,0;93731000000,0;114986000000,0;152757000000,0;197478000000,0;225152000000,0;270046000000,0;311671000000,0;360510000000,0
Gastos de venta generales y administrativos;1552000000,0;1747000000,0;2432000000,0;3674000000,0;4336000000,0;5203000000,0;6668000000,0;8823000000,0;11891000000,0;11816000000,0;11359000000,0;11172000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;225000000,0;289000000,0;451000000,0;626000000,0;878000000,0;1000000000,0;1400000000,0;1000000000,0;1600000000,0;1900000000,0;1900000000,0;1600000000,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;-129000000,0;-155000000,0;-160000000,0;0,0;0,0;0,0;75000000,0;-62000000,0;-1263000000,0;-767000000,0;-763000000,0;-4639000000,0
Gastos operativos totales;88810000000,0;104773000000,0;131801000000,0;173760000000,0;220466000000,0;265981000000,0;363165000000,0;444943000000,0;501735000000,0;537933000000,0;569366000000,0;636949000000,0
Beneficio operativo;178000000,0;2233000000,0;4186000000,0;4106000000,0;12421000000,0;14541000000,0;22899000000,0;24879000000,0;12248000000,0;36852000000,0;68593000000,0;79975000000,0
Gastos por intereses;210000000,0;459000000,0;484000000,0;848000000,0;1417000000,0;1600000000,0;1647000000,0;1809000000,0;2367000000,0;3182000000,0;0,0;0,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;37000000,0;-22000000,0;-96000000,0;-4000000,0;9000000,0;-14000000,0;16000000,0;4000000,0;-3000000,0;-12000000,0;-101000000,0;-554000000,0
Ganancias (perdidas) cambiarias;-98000000,0;-215000000,0;62000000,0;247000000,0;-206000000,0;-20000000,0;35000000,0;-55000000,0;-340000000,0;65000000,0;-408000000,0;19000000,0
Otros ingresos (gastos) no operativos;-118000000,0;-256000000,0;90000000,0;346000000,0;-183000000,0;203000000,0;2371000000,0;14633000000,0;-16806000000,0;938000000,0;-2250000000,0;15229000000,0
EBT excl. Articulos inusuales;-111000000,0;1568000000,0;3892000000,0;3806000000,0;11261000000,0;13976000000,0;24178000000,0;38151000000,0;-5936000000,0;37557000000,0;68614000000,0;97311000000,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
