;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;55184000000,0;47011000000,0;38537000000,0;45462000000,0;54722000000,0;53800000000,0;41748000000,0;50971000000,0;59427000000,0;67060000000,0;64809000000,0;67589000000,0
Ingresos financieros;3042000000,0;2864000000,0;2764000000,0;2786000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;66000000,0;65000000,0;74000000,0;122000000,0;195000000,0;202000000,0;112000000,0;80000000,0;167000000,0;494000000,0;482000000,0;416000000,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;55184000000,0;47011000000,0;38537000000,0;45462000000,0;54722000000,0;53800000000,0;41748000000,0;50971000000,0;59427000000,0;67060000000,0;64809000000,0;67589000000,0
Coste de los bienes vendidos;39767000000,0;33546000000,0;28309000000,0;31049000000,0;36997000000,0;36630000000,0;29082000000,0;35513000000,0;41350000000,0;42767000000,0;33000000,0;49000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio bruto;15417000000,0;13465000000,0;10228000000,0;14413000000,0;17725000000,0;17170000000,0;12666000000,0;15458000000,0;18077000000,0;24293000000,0;64776000000,0;67540000000,0
Gastos de venta generales y administrativos;5697000000,0;4951000000,0;4686000000,0;5177000000,0;5478000000,0;5162000000,0;4642000000,0;5365000000,0;5651000000,0;6371000000,0;6667000000,0;6985000000,0
