;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;1198223000,0;1090630000,0;1036273000,0;1023513000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;1664000,0;967000,0;692000,0;870000,0;1281000,0;601000,0;215000,0;775000,0;1020000,0;2406000,0;3484000,0;1844000,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;1198223000,0;1090630000,0;1036273000,0;1023513000,0;1088205000,0;1230593000,0;1385951000,0;2313416000,0;3554985000,0;3962347000,0;4102108000,0;4040647000,0
Coste de los bienes vendidos;603893000,0;579825000,0;536109000,0;506292000,0;528051000,0;613537000,0;636003000,0;893196000,0;1694703000,0;1752337000,0;1691850000,0;1683592000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;806000,0;969000,0;836000,0;869000,0;955000,0;8636000,0;6742000,0;21647000,0;136158000,0;161351000,0;0,0;0,0
Beneficio bruto;590345000,0;510805000,0;500164000,0;517221000,0;560154000,0;617056000,0;749948000,0;1420220000,0;1860282000,0;2210010000,0;2410258000,0;2357055000,0
Gastos de venta generales y administrativos;565712000,0;559095000,0;503174000,0;494601000,0;495028000,0;488407000,0;514753000,0;737156000,0;1009526000,0;1163940000,0;1388347000,0;1469425000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;12087000,0;25997000,0;3230000,0;-589000,0;711000,0;1566000,0;5779000,0;-2629000,0;1101000,0;3568000,0;1352000,0;-190000,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;16700000,0;14000000,0;11900000,0;13400000,0;14100000,0;11800000,0;10200000,0;13700000,0;0,0;21400000,0;25600000,0;29600000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;582412000,0;573095000,0;515074000,0;508001000,0;509128000,0;500207000,0;524953000,0;750856000,0;1009526000,0;1185340000,0;1413947000,0;1499025000,0
Beneficio operativo;-4726000,0;-72324000,0;-6154000,0;17336000,0;62944000,0;128649000,0;214124000,0;683064000,0;850756000,0;1036783000,0;1021911000,0;149515000,0
Gastos por intereses;806000,0;969000,0;836000,0;869000,0;955000,0;8636000,0;6742000,0;21647000,0;136158000,0;161351000,0;0,0;0,0
Ingresos por intereses e inversiones;1664000,0;967000,0;692000,0;870000,0;1281000,0;601000,0;215000,0;775000,0;1020000,0;2406000,0;3484000,0;1844000,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;-4885000,0;-3332000,0;-2454000,0;563000,0;1318000,0;-1323000,0;-1128000,0;-140000,0;3228000,0;-1240000,0;-6777000,0;9843000,0
Otros ingresos (gastos) no operativos;204000,0;914000,0;1539000,0;280000,0;569000,0;31000,0;510000,0;1797000,0;-338000,0;-326000,0;1231000,0;63000,0
EBT excl. Articulos inusuales;-8549000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;20532000,0;8728000,0;8728000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;431000,0;431000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;307000000,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;-1400000,0;-500000,0;800000,0;-4800000,0;200000,0;-300000,0;300000,0;-1000000,0;-400000,0;-1000000,0;-1100000,0
Devaluacion de activos;8827000,0;15306000,0;3144000,0;5284000,0;2182000,0;0,0;21071000,0;0,0;0,0;9287000,0;24081000,0;738115000,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
