;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;8024900000,0;10824000000,0;12157400000,0;14091000000,0;16068000000,0;17592900000,0;20311100000,0;27774200000,0;33480000000,0;35460400000,0;36801400000,0;34250400000,0
Ingresos financieros;0,0;0,0;0,0;0,0;375300000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;8024900000,0;10824000000,0;12157400000,0;14091000000,0;16068000000,0;17592900000,0;20311100000,0;27774200000,0;33480000000,0;35460400000,0;36801400000,0;34250400000,0
Coste de los bienes vendidos;0,0;0,0;0,0;0,0;12398100000,0;13720900000,0;15373200000,0;19899200000,0;22975900000,0;26110000000,0;27266000000,0;26134200000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio bruto;0,0;0,0;0,0;0,0;3669900000,0;3872000000,0;4937900000,0;7875000000,0;10504100000,0;9350400000,0;9535400000,0;8116200000,0
Gastos de venta generales y administrativos;0,0;0,0;0,0;0,0;1676800000,0;1832500000,0;2047800000,0;2556200000,0;2933700000,0;3248800000,0;3599500000,0;3692000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;0,0;0,0;0,0;0,0;1676800000,0;1832500000,0;2047800000,0;2556200000,0;2933700000,0;3248800000,0;3599500000,0;3692000000,0
Beneficio operativo;814200000,0;1123400000,0;1505800000,0;1731400000,0;2060000000,0;2125300000,0;2983000000,0;5508500000,0;7792200000,0;6518200000,0;6488400000,0;4981600000,0
