;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;74989000000,0;90272000000,0;110855000000,0;0,0;0,0;182527000000,0;257637000000,0;0,0;0,0;0,0;402836000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos;291000000,0;434000000,0;1047000000,0;8592000000,0;5394000000,0;6858000000,0;12020000000,0;-3514000000,0;1424000000,0;7425000000,0;29787000000,0
Ingresos totales;74989000000,0;90272000000,0;110855000000,0;136819000000,0;161857000000,0;182527000000,0;257637000000,0;282836000000,0;307394000000,0;350018000000,0;402836000000,0
Coste de los bienes vendidos;28164000000,0;35138000000,0;45583000000,0;59549000000,0;71896000000,0;84732000000,0;110939000000,0;126203000000,0;133332000000,0;146306000000,0;162535000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;104000000,0;124000000,0;109000000,0;114000000,0;100000000,0;135000000,0;346000000,0;357000000,0;308000000,0;0,0;0,0
Beneficio bruto;46825000000,0;55134000000,0;65272000000,0;77270000000,0;89961000000,0;97795000000,0;146698000000,0;156633000000,0;174062000000,0;203712000000,0;240301000000,0
Gastos de venta generales y administrativos;9047000000,0;10485000000,0;12893000000,0;16333000000,0;18464000000,0;17946000000,0;22912000000,0;26567000000,0;27917000000,0;27808000000,0;28693000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;12282000000,0;13948000000,0;16625000000,0;21419000000,0;26018000000,0;27573000000,0;31562000000,0;39500000000,0;45427000000,0;49326000000,0;61087000000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;55629000000,0;66556000000,0;84709000000,0;110498000000,0;127626000000,0;141303000000,0;178923000000,0;207994000000,0;223101000000,0;237628000000,0;273797000000,0
Beneficio operativo;19360000000,0;23716000000,0;26146000000,0;26321000000,0;34231000000,0;41224000000,0;78714000000,0;74842000000,0;84293000000,0;112390000000,0;129039000000,0
Gastos por intereses;104000000,0;124000000,0;109000000,0;114000000,0;100000000,0;135000000,0;346000000,0;357000000,0;308000000,0;0,0;0,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;-227000000,0;-202000000,0;-156000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;-422000000,0;-475000000,0;-121000000,0;-80000000,0;103000000,0;-344000000,0;-240000000,0;-654000000,0;-1238000000,0;-409000000,0;-382000000,0
Otros ingresos (gastos) no operativos;152000000,0;88000000,0;159000000,0;378000000,0;102000000,0;-637000000,0;411000000,0;381000000,0;299000000,0;919000000,0;1667000000,0
EBT excl. Articulos inusuales;19651000000,0;24150000000,0;27193000000,0;34913000000,0;39625000000,0;48082000000,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3933000000,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Devaluacion de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;8271000000,0;12020000000,0;10700000000,0;15800000000,0;39625000000,0;48082000000,0;90734000000,0;71328000000,0;85717000000,0;119815000000,0;158826000000,0
Gastos de impuestos;3303000000,0;4672000000,0;14531000000,0;4177000000,0;5282000000,0;7813000000,0;14701000000,0;11356000000,0;11922000000,0;19697000000,0;26656000000,0
Beneficios por operaciones continuadas;16348000000,0;19478000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;16348000000,0;19478000000,0;12662000000,0;30736000000,0;34343000000,0;40269000000,0;76033000000,0;59972000000,0;73795000000,0;100118000000,0;132170000000,0
Dividendo preferente y otros ajustes;522000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;15826000000,0;19478000000,0;12662000000,0;0,0;0,0;0,0;0,0;0,0;0,0;100118000000,0;132170000000,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100118000000,0;132170000000,0
BPA diluido sin extraordinarios;1,0285;1,4088092892594024;0,9112197621415608;2,185;2,4579999999999997;2,9305;5,61;4,56;5,8;8,04;10,81
Promedio ponderado de acciones diluidas en circulacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12447000000,0;12230000000,0
Promedio ponderado de acciones basicas en circulacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12319000000,0;12116000000,0
Total de acciones fuera. en la fecha de presentacion;13746960000,0;13825860000,0;13895660000,0;13911120000,0;13766700000,0;13504440000,0;13242420000,0;12849000000,0;12460000000,0;12211000000,0;12088000000,0
Dividendo por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,83
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,0455;1,4088092892594024;0,9112197621415608;2,211;2,4795000000000003;2,9575;5,694;4,59;5,84;8,13;10,91
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
