;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;45998000000,0;44294000000,0;41863000000,0;35410000000,0;34300000000,0;37266000000,0;33014000000,0;38655000000,0;43004000000,0;45754000000,0;47061000000,0;47941000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;594000000,0;613000000,0;642000000,0;677000000,0;689000000,0;563000000,0;370000000,0;276000000,0;449000000,0;907000000,0;988000000,0;786000000,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;0,0;0,0;0,0;0,0;34300000000,0;37266000000,0;33014000000,0;38655000000,0;43004000000,0;45754000000,0;47061000000,0;47941000000,0
Coste de los bienes vendidos;17889000000,0;17482000000,0;16465000000,0;13256000000,0;13067000000,0;14619000000,0;13433000000,0;15357000000,0;18000000000,0;18520000000,0;18324000000,0;18397000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;483000000,0;856000000,0;733000000,0;841000000,0;950000000,0;946000000,0;1437000000,0;1597000000,0;882000000,0;1527000000,0;1656000000,0;1654000000,0
Beneficio bruto;28109000000,0;26812000000,0;25398000000,0;22154000000,0;21233000000,0;22647000000,0;19581000000,0;23298000000,0;25004000000,0;27234000000,0;28737000000,0;29544000000,0
Gastos de venta generales y administrativos;17218000000,0;16427000000,0;15262000000,0;12496000000,0;11002000000,0;12103000000,0;9731000000,0;12144000000,0;12880000000,0;13972000000,0;14582000000,0;14521000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;195000000,0;18000000,0;153000000,0;442000000,0;0,0;767000000,0;290000000,0;0,0;57000000,0;46000000,0;63000000,0;12000000,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;17218000000,0;16427000000,0;15262000000,0;12496000000,0;11002000000,0;12103000000,0;9731000000,0;12144000000,0;12880000000,0;13972000000,0;14582000000,0;14521000000,0
Beneficio operativo;9708000000,0;8728000000,0;8626000000,0;7501000000,0;9152000000,0;10086000000,0;8997000000,0;10308000000,0;10909000000,0;11311000000,0;9992000000,0;13762000000,0
Gastos por intereses;483000000,0;856000000,0;733000000,0;841000000,0;950000000,0;946000000,0;1437000000,0;1597000000,0;882000000,0;1527000000,0;1656000000,0;1654000000,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;769000000,0;489000000,0;835000000,0;1071000000,0;1008000000,0;1049000000,0;978000000,0;1438000000,0;1472000000,0;1691000000,0;1770000000,0;2031000000,0
Ganancias (perdidas) cambiarias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;110000000,0;-191000000,0
Otros ingresos (gastos) no operativos;-1263000000,0;631000000,0;-1234000000,0;-1666000000,0;-1674000000,0;34000000,0;841000000,0;2000000000,0;-262000000,0;570000000,0;1992000000,0;1073000000,0
EBT excl. Articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;264000000,0;440000000,0;0,0;38000000,0;0,0;0,0;0,0
Deterioro del fondo de comercio;82000000,0;4000000,0;10000000,0;390000000,0;390000000,0;0,0;14000000,0;7000000,0;7000000,0;0,0;6000000,0;6000000,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Devaluacion de activos;195000000,0;18000000,0;153000000,0;442000000,0;0,0;767000000,0;290000000,0;0,0;57000000,0;46000000,0;63000000,0;12000000,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;32000000,0;67000000,0;33000000,0;33000000,0;33000000,0;0,0;15000000,0;8000000,0;-2000000,0;10000000,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;9325000000,0;9605000000,0;8136000000,0;6742000000,0;8225000000,0;10786000000,0;9749000000,0;12425000000,0;11686000000,0;12952000000,0;13086000000,0;15998000000,0
Gastos de impuestos;2201000000,0;2239000000,0;1586000000,0;5560000000,0;1749000000,0;1801000000,0;1981000000,0;2621000000,0;2115000000,0;2249000000,0;2437000000,0;2861000000,0
Beneficios por operaciones continuadas;0,0;0,0;0,0;1181000000,0;6734000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;101000000,0;-251000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;7098000000,0;7351000000,0;6527000000,0;1248000000,0;6434000000,0;8920000000,0;7747000000,0;9771000000,0;9542000000,0;10714000000,0;10631000000,0;13107000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;1,6;1,67;1,49;0,29;1,5;2,07;1,79;2,25;2,19;2,47;2,46;3,04
Promedio ponderado de acciones diluidas en circulacion;4450000000,0;4405000000,0;4367000000,0;4324000000,0;4299000000,0;4314000000,0;4323000000,0;4340000000,0;4350000000,0;4339000000,0;4320000000,0;4313000000,0
Promedio ponderado de acciones basicas en circulacion;4387000000,0;4352000000,0;4317000000,0;4272000000,0;4259000000,0;4276000000,0;4295000000,0;4315000000,0;4328000000,0;4323000000,0;4309000000,0;4303000000,0
Total de acciones fuera. en la fecha de presentacion;4366243616,0;4329497778,0;4293461702,0;4265906533,0;4275340031,0;4290276067,0;4309311676,0;4335473308,0;4326691783,0;4312456168,0;4301000395,0;4300723069,0
Dividendo por accion;1,22;1,32;1,4;1,48;1,56;1,6;1,64;1,68;1,76;1,84;1,94;2,04
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;1,62;1,69;1,51;0,29;1,51;2,09;1,8;2,26;2,2;2,48;2,47;3,05
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;9782000000,0;10446000000,0;8846000000,0;7649000000,0;9133000000,0;11667000000,0;11165000000,0;13989000000,0;12539000000,0;14490000000,0;14724000000,0;17622000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
