;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;19615600000,0;19958700000,0;21222100000,0;22871300000,0;21493300000,0;22319500000,0;24539800000,0;28318400000,0;28541400000,0;34124100000,0;45042700000,0;65179000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);195100000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;121000000,0;87000000,0;108700000,0;167300000,0;159300000,0;80400000,0;33000000,0;25400000,0;62800000,0;173600000,0;175200000,0;0,0
Otros ingresos;340500000,0;100600000,0;-84800000,0;52400000,0;145600000,0;291600000,0;1171900000,0;-201600000,0;-320900000,0;96700000,0;-218600000,0;-571000000,0
Ingresos totales;19615600000,0;19958700000,0;21222100000,0;22871300000,0;21493300000,0;22319500000,0;24539800000,0;28318400000,0;28541400000,0;34124100000,0;45042700000,0;65179000000,0
Coste de los bienes vendidos;4932500000,0;5037200000,0;5654900000,0;6070200000,0;4681700000,0;4721200000,0;5483300000,0;7312800000,0;6629800000,0;7082200000,0;8418300000,0;11052000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;148800000,0;161200000,0;185200000,0;225000000,0;242500000,0;400600000,0;359600000,0;339800000,0;331600000,0;485900000,0;0,0;0,0
Beneficio bruto;14683100000,0;14921500000,0;15567200000,0;16801100000,0;16811600000,0;17598300000,0;19056500000,0;21005600000,0;21911600000,0;27041900000,0;36624400000,0;54127000000,0
Gastos de venta generales y administrativos;6620800000,0;6533000000,0;6452000000,0;6588100000,0;5975100000,0;6213800000,0;6121200000,0;6431600000,0;6440400000,0;7403100000,0;8593800000,0;11094000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;243200000,0;226700000,0;255800000,0;462500000,0;139100000,0;497800000,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;4733600000,0;4796400000,0;5243900000,0;5281800000,0;5051200000,0;5595000000,0;6085700000,0;7025900000,0;7190800000,0;9313400000,0;10990600000,0;13337000000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;11354400000,0;11329400000,0;11695900000,0;11869900000,0;11026300000,0;11808800000,0;12206900000,0;13457500000,0;13631200000,0;16716500000,0;19584400000,0;24431000000,0
Beneficio operativo;3328700000,0;2951200000,0;3559200000,0;2422400000,0;3922600000,0;5666500000,0;7589500000,0;6495300000,0;7138000000,0;7040500000,0;12680400000,0;25731000000,0
Gastos por intereses;148800000,0;161200000,0;185200000,0;225000000,0;242500000,0;400600000,0;359600000,0;339800000,0;331600000,0;485900000,0;0,0;0,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;0,0;0,0;-203900000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos (gastos) no operativos;368300000,0;341500000,0;195600000,0;110100000,0;-11700000,0;344600000,0;1246700000,0;51400000,0;-14300000,0;-32700000,0;-25400000,0;-571000000,0
EBT excl. Articulos inusuales;3000300000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gain (Loss) On Sale Of Investments;195100000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Devaluacion de activos;243200000,0;226700000,0;255800000,0;462500000,0;139100000,0;497800000,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;0,0;2790000000,0;3374000000,0;2197400000,0;3680100000,0;5265900000,0;7229900000,0;6155500000,0;6806400000,0;6554600000,0;12680400000,0;25731000000,0
Gastos de impuestos;609800000,0;381600000,0;636400000,0;2401500000,0;529500000,0;628000000,0;1036200000,0;573800000,0;561600000,0;1314200000,0;2090400000,0;5091000000,0
Beneficios por operaciones continuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;0,0;81400000,0;3680500000,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;2390500000,0;2408400000,0;2737600000,0;-204100000,0;3232000000,0;8318400000,0;6193700000,0;5581700000,0;6244800000,0;5240400000,0;10590000000,0;20640000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;2,23;2,26;2,58;-0,19;3,13;8,89;6,79;6,12;6,9;5,8;11,71;22,95
Promedio ponderado de acciones diluidas en circulacion;1074286000,0;1065720000,0;1061825000,0;1052023000,0;1033667000,0;935684000,0;912505000,0;911681000,0;904619000,0;903284000,0;904059000,0;899300000,0
Promedio ponderado de acciones basicas en circulacion;1069932000,0;1061913000,0;1058324000,0;1052023000,0;1027721000,0;931059000,0;907634000,0;906963000,0;901736000,0;900181000,0;900605000,0;897300000,0
Total de acciones fuera. en la fecha de presentacion;1111103942,0;1106093485,0;1103352450,0;1095597580,0;1035418562,0;956382203,0;958425693,0;952347126,0;950296118,0;950164452,0;948169999,0;943357420,0
Dividendo por accion;0,0;0,0;0,0;0,0;2,33;2,68;3,07;3,53;4,07;4,69;5,4;6,23
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;2,23;2,27;2,59;-0,19;3,14;8,93;6,82;6,15;6,93;5,82;11,76;23,0
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;3149100000,0;2951200000,0;3559200000,0;2422400000,0;4004000000,0;9347000000,0;7589500000,0;6495300000,0;7138000000,0;7040500000,0;12680400000,0;25731000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;4733600000,0;4796400000,0;5243900000,0;5281800000,0;5051200000,0;5595000000,0;6085700000,0;7025900000,0;7190800000,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Distribuciones anualizadas por unidad;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo y equivalentes;3871600000,0;3666400000,0;4582100000,0;6536200000,0;7320700000,0;2337500000,0;3657100000,0;3818500000,0;2067000000,0;2818600000,0;3268400000,0;7268000000,0
Inversiones a corto plazo;955400000,0;785400000,0;1456500000,0;1497900000,0;88200000,0;101000000,0;24200000,0;90100000,0;144800000,0;109100000,0;154800000,0;0,0
Activos financieros para vender;0,0;785400000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo total e inversiones a corto plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Cuentas por cobrar;3234600000,0;3513000000,0;4029400000,0;4546300000,0;4593900000,0;4547300000,0;5875300000,0;6672800000,0;6896000000,0;9090500000,0;11005700000,0;17760000000,0
Otros por cobrar;0,0;0,0;0,0;715900000,0;1182900000,0;994200000,0;1053700000,0;1454400000,0;1662900000,0;2245700000,0;2269700000,0;2395000000,0
Notas por cobrar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Total de cuentas por cobrar;3234600000,0;3513000000,0;4029400000,0;4546300000,0;4593900000,0;4547300000,0;5875300000,0;6672800000,0;6896000000,0;9090500000,0;11005700000,0;17760000000,0
Inventario;2740000000,0;3445800000,0;3561900000,0;4458300000,0;3098100000,0;3190700000,0;3980300000,0;3886000000,0;4309700000,0;5772800000,0;7589200000,0;13744000000,0
Gastos pagados por anticipado;811500000,0;604400000,0;734600000,0;1447500000,0;2036700000,0;2538900000,0;2871500000,0;2530600000,0;2954100000,0;5540800000,0;8340500000,0;14315000000,0
Prestamos y arrendamientos de la division de finanzas al corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division de Finanzas Otros Activos Circulantes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;149500000,0;111400000,0;147000000,0
Prestamos mantenidos para la venta;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos Corrientes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo restringido;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otro activo corriente;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;149500000,0;111400000,0;147000000,0
Total de activo corriente;12179800000,0;12573600000,0;15101400000,0;19202100000,0;20549600000,0;13709600000,0;17462100000,0;18452400000,0;18034500000,0;25727000000,0;32739700000,0;55629000000,0
Inmobilizado material bruto;16029300000,0;16660900000,0;16777600000,0;18091100000,0;16663000000,0;17034500000,0;18252600000,0;18961800000,0;20377400000,0;24012900000,0;28891400000,0;37235000000,0
Depreciacion acumulada;8065400000,0;8607400000,0;8525000000,0;9264600000,0;8666900000,0;9161600000,0;9570700000,0;9976700000,0;10233400000,0;11099300000,0;11789000000,0;12560000000,0
Inmobilizado material neto;7963900000,0;8053500000,0;8252600000,0;8826500000,0;7996100000,0;7872900000,0;8681900000,0;8985100000,0;10144000000,0;12913600000,0;17102400000,0;24675000000,0
Inversiones a largo plazo;4568900000,0;3646600000,0;5207500000,0;5678800000,0;2005400000,0;1962400000,0;2966800000,0;3212600000,0;2901800000,0;3052200000,0;3215900000,0;2802000000,0
Fondo de comercio;1758100000,0;4039900000,0;3972700000,0;4370100000,0;1366600000,0;3679400000,0;3766500000,0;3892000000,0;4073000000,0;4939700000,0;5770300000,0;5898000000,0
Otros intangibles;2884200000,0;5034800000,0;4357900000,0;4029200000,0;1068000000,0;6618000000,0;7450000000,0;7691900000,0;7206600000,0;6906600000,0;6166300000,0;6521000000,0
Division de Finanzas Prestamos y Arrendamientos a Largo Plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Division financiera Otros activos a largo plazo;2417700000,0;2220500000,0;1913800000,0;2874300000,0;1824900000,0;0,0;0,0;0,0;0,0;4989900000,0;5719700000,0;6992000000,0
Cuentas por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos por cobrar a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Activos por impuestos diferidos a largo plazo;2434400000,0;2919800000,0;2960900000,0;2538500000,0;4338400000,0;4990000000,0;5801700000,0;5786600000,0;7284800000,0;9395700000,0;11459400000,0;14385000000,0
Cargos diferidos a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros activos a largo plazo;2417700000,0;2220500000,0;1913800000,0;2874300000,0;1824900000,0;0,0;0,0;0,0;0,0;4989900000,0;5719700000,0;6992000000,0
Activo total;37178200000,0;35568900000,0;38805900000,0;44981000000,0;43908400000,0;39286100000,0;46633100000,0;48806000000,0;49489800000,0;64006300000,0;78714900000,0;112476000000,0
Cuentas por pagar;1128100000,0;1338200000,0;1349300000,0;1410700000,0;1207100000,0;1405300000,0;1606700000,0;1670600000,0;1930600000,0;2598800000,0;3228600000,0;5379000000,0
Gastos devengados;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Prestamos de corto plazo;2688700000,0;6100000,0;1937400000,0;3706600000,0;1102200000,0;1499300000,0;8700000,0;1538300000,0;1501100000,0;6904500000,0;5117100000,0;1635000000,0
Porcion corriente de la deuda a largo plazo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Porcion corriente de las obligaciones de arrendamiento financiero;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deuda corriente de la Division de Finanzas;2688700000,0;6100000,0;1937400000,0;3706600000,0;1102200000,0;1499300000,0;8700000,0;1538300000,0;1501100000,0;6904500000,0;5117100000,0;1635000000,0
Otros Pasivos Corrientes de la Division de Finanzas;2472600000,0;2460300000,0;2220900000,0;2832100000,0;2036700000,0;2189400000,0;2750300000,0;3027500000,0;2370300000,0;3281300000,0;5051400000,0;8457000000,0
Impuestos sobre la renta actuales por pagar;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Unearned Revenue Current;0,0;0,0;0,0;0,0;294900000,0;264600000,0;276800000,0;262600000,0;219200000,0;193600000,0;166300000,0;0,0
Pasivo por impuestos diferidos Corriente;1466500000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros pasivos corrientes;2472600000,0;2460300000,0;2220900000,0;2832100000,0;2036700000,0;2189400000,0;2750300000,0;3027500000,0;2370300000,0;3281300000,0;5051400000,0;8457000000,0
Total pasivo corriente;11207500000,0;8229600000,0;10986600000,0;14535900000,0;11888100000,0;11775200000,0;12481600000,0;15052700000,0;17138200000,0;27293200000,0;28376600000,0;35228000000,0
Deuda a largo plazo;5367700000,0;7972400000,0;9005900000,0;9940500000,0;9196400000,0;13817900000,0;16348700000,0;16741200000,0;14815300000,0;19104600000,0;29474000000,0;40868000000,0
Arrendamientos de capitales;0,0;0,0;0,0;0,0;0,0;486700000,0;0,0;0,0;0,0;0,0;970900000,0;1140000000,0
Deuda No Corriente de la Division de Finanzas;0,0;0,0;9005900000,0;0,0;0,0;0,0;16348700000,0;16741200000,0;14815300000,0;19104600000,0;29474000000,0;0,0
