;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;31821000000,0;30274000000,0;30109000000,0;31657000000,0;32765000000,0;32136000000,0;32184000000,0;35355000000,0;34229000000,0;32681000000,0;24575000000,0;24948000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;0,0;0,0;29000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos;-109000000,0;-123000000,0;-170000000,0;-144000000,0;-207000000,0;-462000000,0;-450000000,0;-165000000,0;-147000000,0;-560000000,0;-3000000,0;-416000000,0
Ingresos totales;31821000000,0;30274000000,0;30109000000,0;31657000000,0;32765000000,0;32136000000,0;32184000000,0;35355000000,0;34229000000,0;32681000000,0;24575000000,0;24948000000,0
Coste de los bienes vendidos;16447000000,0;15383000000,0;15040000000,0;16055000000,0;16682000000,0;17136000000,0;16605000000,0;18795000000,0;19232000000,0;18477000000,0;14447000000,0;14991000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;0,0;0,0;0,0;322000000,0;350000000,0;448000000,0;529000000,0;488000000,0;462000000,0;566000000,0;472000000,0;448000000,0
Beneficio bruto;15374000000,0;14891000000,0;15069000000,0;15602000000,0;16083000000,0;15000000000,0;15579000000,0;16560000000,0;14997000000,0;14204000000,0;10128000000,0;9957000000,0
Gastos de venta generales y administrativos;6469000000,0;6182000000,0;6111000000,0;6626000000,0;7602000000,0;7029000000,0;6929000000,0;7197000000,0;9049000000,0;21526000000,0;4221000000,0;3997000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;51000000,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;1193000000,0;1223000000,0;1225000000,0;1352000000,0;1253000000,0;1253000000,0;1146000000,0;1243000000,0;1100000000,0;1000000000,0;700000000,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;24686000000,0;23328000000,0;22886000000,0;23965000000,0;25558000000,0;25962000000,0;25023000000,0;27986000000,0;27690000000,0;41809000000,0;19753000000,0;20319000000,0
Beneficio operativo;7135000000,0;6946000000,0;7223000000,0;7692000000,0;7207000000,0;6174000000,0;7161000000,0;7369000000,0;6539000000,0;-9128000000,0;4822000000,0;4629000000,0
Gastos por intereses;0,0;0,0;0,0;322000000,0;350000000,0;448000000,0;529000000,0;488000000,0;462000000,0;942000000,0;472000000,0;448000000,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;-5000000,0;10000000,0;11000000,0;0,0;0,0;0,0
