;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Ingresos;93580000000,0;85320000000,0;89950000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;766000000,0;903000000,0;1387000000,0;2214000000,0;2762000000,0;2680000000,0;2131000000,0;2094000000,0;2994000000,0;3157000000,0;2647000000,0;3301000000,0
Otros ingresos;346000000,0;-431000000,0;823000000,0;1416000000,0;729000000,0;77000000,0;1186000000,0;333000000,0;788000000,0;-1646000000,0;-4901000000,0;10697000000,0
Ingresos totales;93580000000,0;85320000000,0;89950000000,0;110360000000,0;125843000000,0;143015000000,0;168088000000,0;198270000000,0;211915000000,0;245122000000,0;281724000000,0;331839000000,0
Coste de los bienes vendidos;33038000000,0;32780000000,0;34261000000,0;38353000000,0;42910000000,0;46078000000,0;52232000000,0;62650000000,0;65863000000,0;74114000000,0;87831000000,0;106374000000,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;781000000,0;1243000000,0;2222000000,0;2733000000,0;2686000000,0;2591000000,0;2346000000,0;2063000000,0;1968000000,0;2935000000,0;0,0;0,0
Beneficio bruto;60542000000,0;52540000000,0;55689000000,0;72007000000,0;82933000000,0;96937000000,0;115856000000,0;135620000000,0;146052000000,0;171008000000,0;193893000000,0;225465000000,0
Gastos de venta generales y administrativos;15713000000,0;14697000000,0;15539000000,0;17469000000,0;18213000000,0;19598000000,0;20117000000,0;21825000000,0;22759000000,0;24456000000,0;25654000000,0;26710000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;7498000000,0;630000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;12046000000,0;11988000000,0;13037000000,0;14726000000,0;16876000000,0;19269000000,0;20716000000,0;24512000000,0;27195000000,0;29510000000,0;32488000000,0;35562000000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;42381000000,0;26685000000,0;28576000000,0;32195000000,0;35089000000,0;38867000000,0;40833000000,0;46337000000,0;49954000000,0;53966000000,0;65365000000,0;70228000000,0
Beneficio operativo;18161000000,0;20182000000,0;22326000000,0;35058000000,0;42959000000,0;52959000000,0;69916000000,0;83383000000,0;88523000000,0;109433000000,0;128528000000,0;155237000000,0
Gastos por intereses;781000000,0;1243000000,0;2222000000,0;2733000000,0;2686000000,0;2591000000,0;2346000000,0;2063000000,0;1968000000,0;2935000000,0;0,0;0,0
Ingresos por intereses e inversiones;766000000,0;903000000,0;1387000000,0;2214000000,0;2762000000,0;2680000000,0;2131000000,0;2094000000,0;2994000000,0;3157000000,0;2647000000,0;3301000000,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;335000000,0;-121000000,0;-164000000,0;-218000000,0;-82000000,0;-191000000,0;54000000,0;-75000000,0;181000000,0;-244000000,0;171000000,0;-527000000,0
Otros ingresos (gastos) no operativos;-267000000,0;-195000000,0;-251000000,0;-59000000,0;-57000000,0;-40000000,0;98000000,0;-32000000,0;-223000000,0;-1319000000,0;-4725000000,0;4722000000,0
EBT excl. Articulos inusuales;18507000000,0;19751000000,0;23149000000,0;36474000000,0;43688000000,0;53036000000,0;71102000000,0;0,0;0,0;0,0;0,0;0,0
Cargos de fusion y reestructuracion;2078000000,0;501000000,0;306000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
