;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;84247000000,0;82965000000,0;83701000000,0;87352000000,0;91247000000,0;91244000000,0;85528000000,0;89113000000,0;94950000000,0;98581000000,0;101887000000,0;113097000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;84247000000,0;82965000000,0;83701000000,0;87352000000,0;91247000000,0;91244000000,0;85528000000,0;89113000000,0;94950000000,0;98581000000,0;101887000000,0;113097000000,0
Coste de los bienes vendidos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;90547000000,0;78470000000,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;10934000000,0;10549000000,0;9961000000,0;12912000000,0;19337000000,0;22345000000,0;8225000000,0;4738000000,0;20103000000,0;73331000000,0;0,0;0,0
Beneficio bruto;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio operativo;17789000000,0;32619000000,0;35114000000,0;42125000000,0;53921000000,0;55099000000,0;27220000000,0;38714000000,0;51072000000,0;101673000000,0;29254000000,0;37695000000,0
Gastos por intereses;10934000000,0;10549000000,0;9961000000,0;12912000000,0;19337000000,0;22345000000,0;8225000000,0;4738000000,0;20103000000,0;73331000000,0;0,0;0,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos (gastos) no operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
