;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;36066900000,0;28862800000,0;26644000000,0;29737700000,0;37357700000,0;39258000000,0;35540000000,0;44024000000,0;52577000000,0;61251000000,0;51716000000,0;45684000000,0
Ingresos financieros;2282100000,0;2381100000,0;2511200000,0;2731500000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;1561000000,0;1511000000,0;1471000000,0;1575000000,0;1794000000,0;2074000000,0;1962000000,0;1854000000,0;2027000000,0;0,0;0,0;0,0
Otros ingresos;824200000,0;706500000,0;745500000,0;1121100000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;36066900000,0;28862800000,0;26644000000,0;29737700000,0;37357700000,0;39258000000,0;35540000000,0;44024000000,0;52577000000,0;61251000000,0;51716000000,0;45684000000,0
Coste de los bienes vendidos;24775800000,0;20143200000,0;18248900000,0;19933500000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;324000000,0;183000000,0;188000000,0;187000000,0;0,0;0,0;0,0;0,0;267000000,0;309000000,0;340000000,0;320000000,0
Gastos por intereses - Division de finanzas;664000000,0;680000000,0;763700000,0;899500000,0;1203600000,0;1466000000,0;1247000000,0;993000000,0;1062000000,0;2453000000,0;3348000000,0;3170000000,0
Beneficio bruto;11291100000,0;8719600000,0;8395100000,0;9804200000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta generales y administrativos;3284400000,0;2873300000,0;2763700000,0;3066600000,0;3455500000,0;3551000000,0;3477000000,0;3383000000,0;3863000000,0;4595000000,0;4840000000,0;4663000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;38100000,0;55400000,0;94300000,0;98300000,0;90800000,0;77000000,0;194000000,0;50000000,0;88000000,0;88000000,0;88000000,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;1452000000,0;1425100000,0;1389100000,0;1367700000,0;1657600000,0;1783000000,0;1644000000,0;1587000000,0;1912000000,0;2177000000,0;2290000000,0;2311000000,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;124000000,0;41000000,0;163000000,0;1316600000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;31269500000,0;26082700000,0;24420000000,0;26583900000,0;33287000000,0;35170000000,0;31657000000,0;36422000000,0;43450000000,0;48232000000,0;42510000000,0;39427000000,0
Beneficio operativo;5218000000,0;3140000000,0;2589000000,0;3543000000,0;4476000000,0;4415000000,0;4305000000,0;8012000000,0;9508000000,0;12958000000,0;9039000000,0;0,0
Gastos por intereses;664000000,0;680000000,0;763700000,0;899500000,0;1203600000,0;1466000000,0;1247000000,0;993000000,0;1062000000,0;2453000000,0;3348000000,0;3170000000,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos (perdidas) sobre capital invertido.;-7600000,0;900000,0;-2400000,0;-23500000,0;26800000,0;21000000,0;-48000000,0;21000000,0;10000000,0;7000000,0;-24000000,0;-24000000,0
Ganancias (perdidas) cambiarias;-47000000,0;22000000,0;-38000000,0;-62000000,0;-8000000,0;-13000000,0;18000000,0;-134000000,0;-175000000,0;-159000000,0;-63000000,0;-60000000,0
Otros ingresos (gastos) no operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT excl. Articulos inusuales;4797400000,0;2780100000,0;2224000000,0;3153800000,0;4070700000,0;4088000000,0;3883000000,0;7602000000,0;9127000000,0;13019000000,0;9206000000,0;6257000000,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Devaluacion de activos;95900000,0;34800000,0;85100000,0;39800000,0;39800000,0;77000000,0;194000000,0;50000000,0;88000000,0;88000000,0;88000000,0;0,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;3219000000,0;1838000000,0;967000000,0;1607000000,0;2275000000,0;2166000000,0;2082000000,0;4061000000,0;4977000000,0;7800000000,0;5900000000,0;2700000000,0
Gastos de impuestos;1626500000,0;840100000,0;700100000,0;971100000,0;1726900000,0;852000000,0;1082000000,0;1658000000,0;2007000000,0;2871000000,0;2094000000,0;1259000000,0
Beneficios por operaciones continuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;3161700000,0;1940000000,0;1523900000,0;2159100000,0;2368400000,0;3253000000,0;2751000000,0;5963000000,0;7131000000,0;10166000000,0;7100000000,0;5027000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;3160700000,0;1939200000,0;1523200000,0;2158500000,0;2368000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;8,63;5,77;4,81;6,68;7,24;10,15;8,69;18,99;23,28;34,63;25,62;18,5
Promedio ponderado de acciones diluidas en circulacion;366100000,0;336000000,0;316600000,0;323300000,0;327300000,0;320600000,0;316600000,0;314000000,0;306300000,0;293600000,0;277100000,0;271700000,0
Promedio ponderado de acciones basicas en circulacion;363000000,0;333600000,0;315200000,0;319500000,0;322600000,0;316500000,0;313500000,0;311600000,0;304500000,0;292200000,0;276000000,0;270900000,0
Total de acciones fuera. en la fecha de presentacion;344295604,0;316700104,0;316872632,0;322595010,0;318570788,0;313275755,0;313361302,0;307407282,0;298237257,0;280255442,0;271575282,0;270445437,0
Dividendo por accion;2,22;2,4;2,4;2,4;2,58;3,04;3,04;3,61;4,36;5,05;5,88;6,48
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;8,71;5,81;4,83;6,76;7,34;10,28;8,77;19,14;23,42;34,8;25,73;18,55
