;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;19391400000,0;20853800000,0;23441400000,0;26839000000,0;31979000000,0;39022300000,0;42658100000,0;47702000000,0;49610700000,0;62108500000,0;75372000000,0;87671000000,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3067000000,0;4276000000,0
Otros ingresos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos totales;19391400000,0;20853800000,0;23441400000,0;26839000000,0;31979000000,0;39022300000,0;42658100000,0;47702000000,0;49610700000,0;62108500000,0;75372000000,0;87671000000,0
Coste de los bienes vendidos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;49060000000,0;53959000000,0
Gastos por intereses - Division de finanzas;116900000,0;136000000,0;140900000,0;153100000,0;166500000,0;189700000,0;217000000,0;218600000,0;243500000,0;268400000,0;279000000,0;278000000,0
Beneficio bruto;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros gastos operacionales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos totales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio operativo;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4428600000,0;1165600000,0;5172100000,0;10992000000,0;14501000000,0
Gastos por intereses;116900000,0;136000000,0;140900000,0;153100000,0;166500000,0;189700000,0;217000000,0;218600000,0;243500000,0;268400000,0;279000000,0;278000000,0
Ingresos por intereses e inversiones;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3067000000,0;4276000000,0
Ingresos (perdidas) sobre capital invertido.;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancias (perdidas) cambiarias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros ingresos (gastos) no operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT excl. Articulos inusuales;1907400000,0;1911600000,0;1470700000,0;2138900000,0;3163600000,0;5160300000,0;7173200000,0;4210000000,0;922100000,0;4903700000,0;10713000000,0;14223000000,0
Cargos de fusion y reestructuracion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del fondo de comercio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;224800000,0;0,0;0,0;0,0
Gain (Loss) On Sale Of Investments;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos;-5400000,0;-2000000,0;-6600000,0;-7200000,0;-32100000,0;-11000000,0;-12500000,0;3600000,0;600000,0;-36200000,0;-13000000,0;-16000000,0
Devaluacion de activos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D en proceso;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Liquidaciones de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Acuerdos legales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Otros articulos inusuales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBT incl. Articulos extraordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4210000000,0;922100000,0;4903700000,0;10713000000,0;14223000000,0
Gastos de impuestos;626400000,0;611100000,0;413500000,0;540800000,0;542600000,0;1180300000,0;1468600000,0;859100000,0;200600000,0;1001300000,0;2233000000,0;2915000000,0
Beneficios por operaciones continuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficios por operaciones discontinuadas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Articulo extraordinario y cambio contable;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto de la empresa;1281000000,0;1267600000,0;1031000000,0;1592200000,0;2615300000,0;3970300000,0;5704600000,0;3350900000,0;721500000,0;3902400000,0;8480000000,0;11308000000,0
Dividendo preferente y otros ajustes;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio neto a acciones comunes incluidos extradordinarios;0,0;0,0;0,0;0,0;2593900000,0;3943400000,0;5677700000,0;3324000000,0;694600000,0;3864800000,0;8463000000,0;11308000000,0
Beneficio neto a acciones comunes excluidos extradordinarios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA diluido sin extraordinarios;2,15;2,15;1,76;2,72;4,42;6,72;9,66;5,66;1,18;6,58;14,4;19,23
Promedio ponderado de acciones diluidas en circulacion;594800000,0;589200000,0;585000000,0;585700000,0;586700000,0;587200000,0;587600000,0;587100000,0;587100000,0;587500000,0;587700000,0;588100000,0
Promedio ponderado de acciones basicas en circulacion;590600000,0;585500000,0;581700000,0;580800000,0;582400000,0;583800000,0;584900000,0;584500000,0;584400000,0;584900000,0;585500000,0;586300000,0
Total de acciones fuera. en la fecha de presentacion;588932479,0;584328057,0;580803030,0;582275989,0;583896232,0;585253659,0;585747728,0;584848536,0;585340036,0;585677464,0;586207679,0;585906353,0
Dividendo por accion;0,0;0,0;0,0;0,0;2,514;2,65;4,9;1,9;0,4;1,15;4,9;13,9
Dividendo especial por accion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
BPA basico;2,17;2,16;1,77;2,74;4,45;6,75;9,71;5,69;1,19;6,61;14,45;19,29
FFO;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
EBITDA;2024300000,0;2014700000,0;1585400000,0;2286100000,0;3324400000,0;5340300000,0;7390200000,0;4428600000,0;1165600000,0;5172100000,0;10992000000,0;14501000000,0
EBITDAR;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gasto en I + D ;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta y marketing;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos generales y administrativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Efectivo distribuible por accion (diluido);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
