;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Ingresos;12702000000,0;13880000000,0;15082000000,0;18358000000,0;20609000000,0;22977000000,0;21846000000,0;0,0;0,0;0,0;0,0;0,0
Ingresos financieros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ingresos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en la venta de activos (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ganancia (perdida) en venta de inversion (Rev);0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Intereses e ingresos de inversiones;35000000,0;46000000,0;82000000,0;105000000,0;470000000,0;383000000,0;200000000,0;731000000,0;-227000000,0;663000000,0;992000000,0;791000000,0
Otros ingresos;27000000,0;-69000000,0;129000000,0;-450000000,0;-148000000,0;-117000000,0;-291000000,0;259000000,0;-677000000,0;37000000,0;321000000,0;200000000,0
Ingresos totales;12702000000,0;13880000000,0;15082000000,0;18358000000,0;20609000000,0;22977000000,0;21846000000,0;24105000000,0;29310000000,0;32653000000,0;35926000000,0;40000000000,0
Coste de los bienes vendidos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos financieros operativos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos operativos de la division de seguros;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos por intereses - Division de finanzas;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Beneficio bruto;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de venta generales y administrativos;507000000,0;547000000,0;796000000,0;1060000000,0;1145000000,0;1196000000,0;1096000000,0;985000000,0;1194000000,0;1330000000,0;1598000000,0;1926000000,0
Gastos de exploracion / perforacion;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Provision para deudas incobrables;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de pre-apertura;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Gastos de I + D;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Deterioro del petroleo, gas y propiedades minerales;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
